Laptop Model,Processor Type,Generation,RAM,Storage,Graphics,Display Size(Inch),Price
Asus VivoBook 15 X1500EA Intel Core i3 1115G4 ...,Core i3,11th (Intel),8GB,1TB HDD+256GB SSD,Shared,15.6,"Tk 61,800"
HP 15-fd0210TU 13th Gen Intel Core i5 1335U 8 ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 83,600"
MSI Cyborg 15 AI A1VEK Intel Core Ultra 7 155 ...,Core Ultra 7,Unmentioned,16GB,512GB SSD,6GB,15.6,"Tk 174,900"
MSI Cyborg 15 AI A1VFK Intel Core Ultra 7 155 ...,Core Ultra 7,Unmentioned,16GB,512GB SSD,8GB,15.6,"Tk 187,900"
Asus VivoBook 15 X1502ZA Intel Core i5 1235U ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 79,500"
Asus VivoBook 15 X1502ZA Intel Core i3 1215U ...,Core i3,12th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 63,500"
"MSI Modern 15 B7M AMD Ryzen 7 16GB RAM, 512GB ...",Ryzen 7,Not Applicable,16GB,512GB SSD,Shared,15.6,"Tk 87,000"
"MSI Modern 15 B7M AMD Ryzen 7 7730U 8GB RAM, ...",Ryzen 7,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 85,500"
Acer Aspire 3 A315-24P AMD Ryzen 5 7520U 8GB ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 58,000"
"MSI Modern 15 B7M AMD Ryzen 5 7530U 8GB RAM, ...",Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,15.6,"Tk 72,500"
Apple MacBook Pro (Late 2023) Apple M3 Max 36 ...,Apple M3,Not Applicable,36GB,1TB SSD,Shared,14.2,"Tk 410,000"
Lenovo IdeaPad Slim 3i 15ITL6 Intel Core i7 1 ...,Core i7,11th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 79,800"
MSI GF63 Thin 11SC Intel Core i7 11800H 16GB ...,Core i7,11th (Intel),16GB,512GB SSD,4GB,15.6,"Tk 91,000"
MSI Cyborg 15 A12UCX Intel Core i5 12450H 8GB ...,Core i5,12th (Intel),8GB,512GB SSD,4GB,15.6,"Tk 105,000"
HP ProBook 440 G10 Intel Core i7 1355U 8GB RA ...,Core i7,13th (Intel),8GB,512GB SSD,Shared,14,"Tk 118,500"
HP ProBook 450 G10 Intel Core i5 1335U 8GB RA ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 93,500"
"HP 15-fd0208TU Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 83,600"
"HP 15-fd0202TU Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,600"
HP 15-fd0205TU Intel Core i5 1335U 8GB RAM 51 ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,600"
MSI Commercial 14 H A13MG Intel Core i5 13420 ...,Core i5,13th (Intel),8GB,1TB SSD,Shared,14,"Tk 106,000"
"HP 15-fd0204TU Intel Core i5 1335U 8GB RAM, 5 ...",Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 81,600"
Dell Inspiron 16 5625 AMD Ryzen 5 5625U 8GB R ...,Ryzen 5,Not Applicable,8GB,512GB SSD,Shared,16,"Tk 81,000"
Dell Inspiron 16 5620 Intel Core i5 1235U 8GB ...,Core i5,12th (Intel),8GB,512GB SSD,Shared,16,"Tk 106,500"
Dell Inspiron 15 3530 Intel Core i5 1335U 8GB ...,Core i5,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 86,000"
Dell G15 5530 Intel Core i5 13450HX 16GB RAM ...,Core i5,13th (Intel),16GB,512GB SSD,6GB,15.6,"Tk 158,000"
HP 255 G8 AMD Ryzen 3 5300U 8GB RAM 1TB HDD 1 ...,Ryzen 3,Not Applicable,8GB,1TB HDD,Shared,15.6,"Tk 55,800"
Dell Inspiron 15 3530 Intel Core i3 1305U 8GB ...,Core i3,13th (Intel),8GB,512GB SSD,Shared,15.6,"Tk 66,500"
HP 250 G8 Intel Core i7 1165G7 8GB RAM 1TB HD ...,Core i7,11th (Intel),8GB,1TB HDD+256GB SSD,Shared,15.6,"Tk 94,000"
Lenovo Legion 7i Gaming 16IAX7 Intel Core i9 ...,Core i9,12th (Intel),32GB,1TB SSD,16GB,16,"Tk 338,000"
Microsoft Surface Laptop Go 3 Intel Core i5 1 ...,Core i5,12th (Intel),8GB,256GB SSD,Shared,12.4,"Tk 119,000"
Microsoft Surface Go 3 LTE Intel Core i3 1010 ...,Core i3,10th (Intel),8GB,128GB SSD,Shared,10.5,"Tk 115,000"
